,action,destIP,srcIP
364,DENY,1.8.0.0-1.11.255.255,0.0.0.0-7.255.255.255
365,DENY,8.10.6.0-8.10.7.255,7.3.10.2-7.3.10.3
366,DENY,2.3.7.9,3.0.0.0-3.63.255.255
367,ALLOW,7.6.4.2,8.0.0.0-11.255.255.255
368,ALLOW,5.3.10.0-5.3.10.15,3.3.8.0-3.3.8.31
369,ALLOW,8.8.8.0-8.8.9.255,4.0.0.0-5.255.255.255
370,ALLOW,4.3.0.0-4.3.15.255,5.5.2.0-5.5.2.31
371,ALLOW,5.0.0.0-5.63.255.255,10.3.2.0-10.3.2.3
372,DENY,2.5.6.0-2.5.6.3,2.0.0.0-3.255.255.255
373,ALLOW,5.0.0.0-5.127.255.255,8.9.0.0-8.9.127.255
374,DENY,0.0.0.0-255.255.255.255,5.1.3.4-5.1.3.7
375,DENY,4.10.6.0-4.10.7.255,7.3.0.0-7.3.127.255
376,DENY,1.0.0.0-1.31.255.255,4.10.0.0-4.11.255.255
377,ALLOW,8.6.0.0-8.6.31.255,8.4.0.0-8.5.255.255
378,DENY,4.0.0.0-4.31.255.255,8.0.0.0-11.255.255.255
379,ALLOW,10.6.0.0-10.7.255.255,5.0.0.0-5.127.255.255
380,ALLOW,3.0.0.0-3.127.255.255,4.10.4.0-4.10.4.31
381,DENY,0.0.0.0-127.255.255.255,6.5.0.0-6.5.7.255
382,DENY,6.2.0.0-6.2.255.255,10.0.0.0-10.63.255.255
383,ALLOW,6.2.2.0-6.2.3.255,5.2.8.0-5.2.8.31
384,ALLOW,2.5.0.0-2.5.15.255,8.0.0.0-11.255.255.255
385,DENY,3.6.0.0-3.6.63.255,0.0.0.0-31.255.255.255
386,DENY,8.8.0.0-8.8.31.255,0.0.0.0-3.255.255.255
387,DENY,6.8.0.0-6.15.255.255,5.2.0.0-5.2.15.255
388,DENY,0.0.0.0-31.255.255.255,1.4.0.0-1.4.7.255
389,DENY,0.0.0.0-15.255.255.255,5.7.0.0-5.7.255.255
390,DENY,2.0.0.0-2.127.255.255,8.7.0.0-8.7.7.255
391,ALLOW,3.0.0.0-3.31.255.255,5.0.0.0-5.15.255.255
392,DENY,8.5.0.0-8.5.31.255,2.0.0.0-2.15.255.255
393,ALLOW,9.6.9.0-9.6.9.15,0.0.0.0-63.255.255.255
394,ALLOW,3.8.7.6,4.7.0.0-4.7.127.255
395,DENY,0.0.0.0-31.255.255.255,0.0.0.0-7.255.255.255
396,DENY,5.4.6.1,0.0.0.0-15.255.255.255
397,DENY,3.2.8.0-3.2.8.127,5.4.3.0-5.4.3.127
398,DENY,8.5.8.6-8.5.8.7,0.0.0.0-31.255.255.255
399,ALLOW,8.0.0.0-9.255.255.255,5.0.0.0-5.31.255.255
400,ALLOW,8.1.8.8-8.1.8.11,0.0.0.0-15.255.255.255
401,DENY,3.0.0.0-3.31.255.255,6.10.3.8-6.10.3.15
402,DENY,3.5.0.0-3.5.31.255,2.5.0.0-2.5.127.255
403,DENY,4.10.0.0-4.11.255.255,1.3.0.0-1.3.15.255
404,ALLOW,0.0.0.0-15.255.255.255,1.4.8.8-1.4.8.11
405,DENY,6.3.9.8-6.3.9.15,0.0.0.0-1.255.255.255
406,ALLOW,10.2.0.0-10.2.255.255,6.0.0.0-6.7.255.255
407,ALLOW,1.4.0.0-1.4.63.255,5.0.0.0-5.255.255.255
408,DENY,0.0.0.0-63.255.255.255,4.7.10.6-4.7.10.7
409,DENY,10.3.2.0-10.3.2.7,9.6.8.0-9.6.15.255
410,ALLOW,2.0.0.0-2.127.255.255,0.0.0.0-255.255.255.255
411,DENY,5.10.6.0-5.10.7.255,9.8.7.0-9.8.7.255
412,ALLOW,4.0.0.0-4.7.255.255,10.4.0.0-10.4.63.255
413,ALLOW,3.8.0.0-3.11.255.255,1.9.0.0-1.9.31.255
414,DENY,0.0.0.0-127.255.255.255,1.10.5.0-1.10.5.63
415,DENY,5.0.0.0-5.7.255.255,0.0.0.0-3.255.255.255
416,ALLOW,1.3.4.0-1.3.7.255,4.7.0.0-4.7.31.255
417,DENY,9.5.0.0-9.5.7.255,7.10.0.0-7.10.3.255
418,ALLOW,8.0.0.0-9.255.255.255,3.9.4.10-3.9.4.11
419,DENY,7.6.0.0-7.6.31.255,5.7.0.0-5.7.127.255
420,ALLOW,7.8.0.0-7.11.255.255,1.0.0.0-1.31.255.255
421,DENY,4.0.0.0-4.31.255.255,0.0.0.0-15.255.255.255
422,DENY,6.4.6.0-6.4.6.15,4.4.6.0-4.4.7.255
423,DENY,3.1.0.0-3.1.63.255,3.3.8.0-3.3.9.255
424,DENY,7.8.8.0-7.8.11.255,10.2.0.0-10.2.63.255
425,DENY,10.0.0.0-10.7.255.255,0.0.0.0-127.255.255.255
426,ALLOW,5.8.0.0-5.15.255.255,1.2.10.0-1.2.11.255
427,DENY,4.8.0.0-4.8.31.255,4.3.0.0-4.3.255.255
428,ALLOW,0.0.0.0-15.255.255.255,0.0.0.0-31.255.255.255
429,DENY,10.8.8.0-10.8.9.255,9.4.1.0-9.4.1.15
430,DENY,1.2.9.0-1.2.9.63,8.5.10.0-8.5.10.3
431,DENY,4.0.0.0-4.63.255.255,8.7.9.8-8.7.9.11
432,DENY,9.5.4.0-9.5.5.255,8.5.0.0-8.5.31.255
433,DENY,7.10.9.0-7.10.9.63,6.0.0.0-6.255.255.255
434,ALLOW,4.1.8.7,0.0.0.0-15.255.255.255
435,ALLOW,1.8.7.4-1.8.7.5,5.0.0.0-5.127.255.255
436,ALLOW,7.0.0.0-7.31.255.255,7.4.0.0-7.4.255.255
437,ALLOW,4.2.0.0-4.2.15.255,5.0.0.0-5.31.255.255
438,ALLOW,8.0.0.0-8.63.255.255,0.0.0.0-31.255.255.255
439,ALLOW,1.4.8.0-1.4.15.255,7.1.10.0-7.1.10.127
440,DENY,8.0.0.0-8.31.255.255,0.0.0.0-127.255.255.255
441,DENY,6.1.0.0-6.1.255.255,4.0.0.0-4.63.255.255
442,DENY,0.0.0.0-127.255.255.255,7.1.0.0-7.1.31.255
443,ALLOW,3.7.1.0-3.7.1.255,3.3.10.0-3.3.10.31
444,ALLOW,10.6.0.0-10.6.127.255,6.6.0.0-6.7.255.255
445,ALLOW,8.6.0.0-8.7.255.255,4.9.6.0-4.9.6.127
446,ALLOW,2.10.4.0-2.10.7.255,0.0.0.0-127.255.255.255
447,ALLOW,4.2.2.9,3.7.8.0-3.7.8.63
448,DENY,1.8.6.0-1.8.6.7,6.9.10.0-6.9.10.127
449,ALLOW,6.5.0.0-6.5.7.255,3.1.1.1
450,DENY,9.10.6.0-9.10.7.255,0.0.0.0-7.255.255.255
451,ALLOW,10.7.9.1,10.3.4.0-10.3.5.255
452,DENY,1.9.9.0-1.9.9.127,0.0.0.0-31.255.255.255
453,ALLOW,5.9.10.0-5.9.10.255,8.1.9.7
454,ALLOW,7.0.0.0-7.63.255.255,8.4.0.0-8.5.255.255
455,ALLOW,5.0.0.0-5.127.255.255,4.0.0.0-7.255.255.255
456,ALLOW,7.8.0.0-7.8.15.255,7.1.2.4-7.1.2.5
457,DENY,10.2.4.0-10.2.4.63,10.1.0.0-10.1.255.255
458,DENY,8.2.4.0-8.2.5.255,4.2.0.0-4.3.255.255
459,DENY,0.0.0.0-7.255.255.255,8.10.0.0-8.10.7.255
460,DENY,10.4.0.0-10.4.63.255,8.0.0.0-15.255.255.255
461,DENY,3.1.0.0-3.1.7.255,5.7.8.8-5.7.8.11
462,DENY,7.0.0.0-7.15.255.255,3.7.5.0-3.7.5.255
463,DENY,1.8.0.0-1.11.255.255,7.10.5.0-7.10.5.127
464,DENY,9.10.6.0-9.10.7.255,10.9.0.0-10.9.7.255
465,DENY,2.9.3.4-2.9.3.7,0.0.0.0-63.255.255.255
466,DENY,2.0.0.0-2.255.255.255,3.7.8.0-3.7.11.255
467,ALLOW,1.0.0.0-1.7.255.255,10.3.0.0-10.3.7.255
468,DENY,2.0.0.0-2.7.255.255,1.6.0.0-1.6.3.255
469,ALLOW,8.9.2.2-8.9.2.3,5.10.0.0-5.10.63.255
470,DENY,5.0.0.0-5.15.255.255,0.0.0.0-3.255.255.255
471,ALLOW,0.0.0.0-3.255.255.255,7.0.0.0-7.255.255.255
472,DENY,9.5.4.8-9.5.4.9,0.0.0.0-31.255.255.255
473,DENY,0.0.0.0-15.255.255.255,3.7.5.0-3.7.5.127
474,DENY,4.0.0.0-5.255.255.255,7.0.0.0-7.3.255.255
475,DENY,0.0.0.0-31.255.255.255,1.2.0.0-1.2.127.255
476,DENY,6.1.0.0-6.1.31.255,6.8.0.0-6.15.255.255
477,ALLOW,0.0.0.0-31.255.255.255,8.2.0.0-8.3.255.255
478,DENY,0.0.0.0-7.255.255.255,6.8.0.0-6.8.255.255
479,ALLOW,9.0.0.0-9.15.255.255,5.2.7.8-5.2.7.9
480,ALLOW,9.7.0.0-9.7.31.255,0.0.0.0-127.255.255.255
481,ALLOW,6.10.0.0-6.10.15.255,0.0.0.0-127.255.255.255
482,DENY,8.0.0.0-9.255.255.255,9.4.4.0-9.4.4.31
483,ALLOW,3.8.8.0-3.8.8.255,6.4.0.0-6.4.127.255
484,ALLOW,0.0.0.0-7.255.255.255,3.3.0.0-3.3.255.255
485,DENY,5.7.0.0-5.7.31.255,2.0.0.0-2.15.255.255
486,ALLOW,6.0.0.0-6.127.255.255,10.10.9.0-10.10.9.15
487,DENY,8.0.0.0-9.255.255.255,0.0.0.0-31.255.255.255
488,DENY,2.6.0.0-2.6.255.255,0.0.0.0-127.255.255.255
489,ALLOW,2.1.5.0-2.1.5.255,3.8.3.0-3.8.3.127
490,ALLOW,0.0.0.0-31.255.255.255,2.0.0.0-2.63.255.255
491,DENY,9.5.0.0-9.5.31.255,2.6.0.0-2.6.7.255
492,DENY,3.3.2.0-3.3.2.63,3.3.0.0-3.3.15.255
493,DENY,4.7.0.0-4.7.63.255,0.0.0.0-31.255.255.255
494,DENY,8.6.0.0-8.6.255.255,9.7.5.0-9.7.5.31
495,DENY,7.8.0.0-7.15.255.255,2.1.0.0-2.1.127.255
496,ALLOW,6.3.4.0-6.3.4.127,5.10.10.0-5.10.10.63
497,DENY,10.1.6.0-10.1.6.255,0.0.0.0-7.255.255.255
498,DENY,5.7.4.0-5.7.7.255,8.3.8.4-8.3.8.7
499,ALLOW,9.8.9.8,9.10.0.0-9.10.31.255
500,DENY,6.1.8.0-6.1.15.255,4.0.0.0-5.255.255.255
501,DENY,6.8.0.0-6.15.255.255,0.0.0.0-7.255.255.255
502,ALLOW,4.0.0.0-4.63.255.255,10.0.0.0-10.7.255.255
503,ALLOW,3.9.0.0-3.9.127.255,0.0.0.0-7.255.255.255
504,DENY,2.0.0.0-2.63.255.255,7.0.0.0-7.3.255.255
505,ALLOW,4.0.0.0-4.63.255.255,6.10.6.0-6.10.6.63
506,ALLOW,2.8.5.8-2.8.5.11,4.9.0.0-4.9.63.255
507,ALLOW,4.0.0.0-7.255.255.255,8.8.2.0-8.8.2.31
508,ALLOW,7.6.0.0-7.7.255.255,3.2.0.0-3.3.255.255
509,ALLOW,2.9.4.0-2.9.7.255,5.0.0.0-5.63.255.255
510,ALLOW,3.0.0.0-3.63.255.255,3.3.3.0-3.3.3.31
511,DENY,4.0.0.0-5.255.255.255,10.0.0.0-10.255.255.255
512,DENY,6.2.3.1,4.6.9.8-4.6.9.11
513,DENY,2.7.0.0-2.7.31.255,10.4.9.6-10.4.9.7
514,ALLOW,0.0.0.0-15.255.255.255,0.0.0.0-63.255.255.255
515,ALLOW,9.5.3.9,4.7.0.0-4.7.255.255
516,DENY,0.0.0.0-3.255.255.255,2.7.3.0-2.7.3.3
517,DENY,9.4.0.0-9.4.255.255,6.0.0.0-6.255.255.255
518,ALLOW,6.7.2.0-6.7.2.15,10.4.3.8-10.4.3.11
519,DENY,2.6.10.0-2.6.10.255,0.0.0.0-15.255.255.255
520,ALLOW,0.0.0.0-63.255.255.255,3.3.9.7
521,DENY,7.2.0.0-7.3.255.255,7.1.8.6
522,ALLOW,10.0.0.0-11.255.255.255,8.5.10.0-8.5.10.7
523,DENY,9.2.0.0-9.3.255.255,10.3.10.0-10.3.10.127
524,ALLOW,8.9.8.0-8.9.15.255,7.3.0.0-7.3.31.255
525,DENY,0.0.0.0-127.255.255.255,2.10.0.0-2.10.31.255
526,ALLOW,9.0.0.0-9.255.255.255,7.10.2.6-7.10.2.7
527,DENY,4.0.0.0-5.255.255.255,4.2.0.0-4.2.7.255
528,ALLOW,1.0.0.0-1.7.255.255,8.0.0.0-8.7.255.255
529,ALLOW,9.0.0.0-9.31.255.255,2.10.1.0-2.10.1.15
530,DENY,5.7.7.0-5.7.7.31,1.4.0.0-1.7.255.255
531,DENY,0.0.0.0-15.255.255.255,9.6.5.0-9.6.5.15
532,ALLOW,1.8.0.0-1.8.15.255,2.5.0.0-2.5.7.255
533,DENY,4.8.8.0-4.8.15.255,3.7.6.4-3.7.6.7
534,DENY,6.8.0.0-6.15.255.255,10.0.0.0-10.63.255.255
535,ALLOW,4.0.0.0-5.255.255.255,1.2.4.0-1.2.7.255
536,ALLOW,10.0.0.0-10.63.255.255,6.5.8.8-6.5.8.11
537,ALLOW,2.7.10.0-2.7.10.63,2.0.0.0-2.255.255.255
538,DENY,0.0.0.0-63.255.255.255,0.0.0.0-3.255.255.255
539,DENY,6.4.0.0-6.5.255.255,0.0.0.0-3.255.255.255
540,ALLOW,9.9.0.0-9.9.127.255,3.1.10.0-3.1.10.127
541,ALLOW,5.0.0.0-5.31.255.255,7.4.4.0-7.4.4.15
542,DENY,8.9.6.0-8.9.6.1,9.0.0.0-9.255.255.255
543,ALLOW,0.0.0.0-7.255.255.255,0.0.0.0-3.255.255.255
544,DENY,4.0.0.0-4.255.255.255,0.0.0.0-63.255.255.255
545,DENY,0.0.0.0-127.255.255.255,0.0.0.0-127.255.255.255
546,ALLOW,8.0.0.0-11.255.255.255,4.6.7.0-4.6.7.31
547,DENY,5.10.1.0-5.10.1.7,3.5.1.4-3.5.1.5
548,ALLOW,3.4.0.0-3.7.255.255,4.10.4.0-4.10.5.255
549,ALLOW,0.0.0.0-127.255.255.255,3.7.0.0-3.7.15.255
550,ALLOW,4.3.7.4-4.3.7.5,4.0.0.0-7.255.255.255
551,ALLOW,9.3.9.0-9.3.9.31,0.0.0.0-31.255.255.255
552,DENY,5.10.0.0-5.10.63.255,0.0.0.0-15.255.255.255
553,ALLOW,6.0.0.0-6.15.255.255,5.10.0.0-5.10.7.255
554,DENY,1.10.0.0-1.10.15.255,7.4.0.0-7.4.7.255
555,ALLOW,2.4.4.0-2.4.4.127,0.0.0.0-127.255.255.255
556,ALLOW,9.0.0.0-9.127.255.255,0.0.0.0-31.255.255.255
557,DENY,4.0.0.0-4.63.255.255,6.0.0.0-6.15.255.255
558,ALLOW,0.0.0.0-31.255.255.255,1.0.0.0-1.255.255.255
559,DENY,3.7.0.0-3.7.63.255,4.4.10.0-4.4.10.7
560,DENY,0.0.0.0-255.255.255.255,2.6.6.0-2.6.6.127
561,ALLOW,1.0.0.0-1.63.255.255,9.0.0.0-9.15.255.255
562,ALLOW,1.10.0.0-1.10.1.255,5.6.0.0-5.7.255.255
563,ALLOW,10.0.0.0-10.31.255.255,8.0.0.0-8.31.255.255
564,ALLOW,7.9.0.0-7.9.255.255,5.2.8.0-5.2.11.255
565,DENY,2.2.10.4-2.2.10.7,5.2.0.0-5.2.63.255
566,ALLOW,8.2.0.0-8.2.255.255,4.0.0.0-4.63.255.255
567,ALLOW,5.0.0.0-5.15.255.255,1.1.3.0-1.1.3.127
568,DENY,10.0.0.0-10.31.255.255,2.0.0.0-2.255.255.255
569,ALLOW,0.0.0.0-3.255.255.255,7.0.0.0-7.15.255.255
570,DENY,9.6.0.0-9.6.127.255,2.0.0.0-2.255.255.255
571,ALLOW,8.0.0.0-8.127.255.255,4.2.4.0-4.2.5.255
572,DENY,0.0.0.0-63.255.255.255,10.3.4.2-10.3.4.3
573,DENY,2.0.0.0-2.63.255.255,2.9.6.2-2.9.6.3
574,DENY,4.9.2.0-4.9.2.63,4.0.0.0-4.15.255.255
575,DENY,7.10.10.0-7.10.10.7,10.4.0.0-10.4.3.255
576,ALLOW,3.6.0.0-3.6.15.255,2.2.0.0-2.3.255.255
577,DENY,0.0.0.0-7.255.255.255,0.0.0.0-3.255.255.255
578,DENY,5.5.4.0-5.5.7.255,0.0.0.0-127.255.255.255
579,ALLOW,7.9.2.0-7.9.2.255,7.3.4.6-7.3.4.7
580,ALLOW,9.2.0.0-9.3.255.255,1.0.0.0-1.255.255.255
581,DENY,0.0.0.0-15.255.255.255,8.9.0.0-8.9.15.255
582,DENY,8.10.5.0-8.10.5.255,1.7.0.0-1.7.15.255
583,DENY,0.0.0.0-63.255.255.255,1.4.8.0-1.4.9.255
584,DENY,2.0.0.0-3.255.255.255,9.6.0.0-9.6.127.255
585,DENY,4.0.0.0-7.255.255.255,0.0.0.0-1.255.255.255
586,DENY,3.10.0.0-3.10.31.255,0.0.0.0-7.255.255.255
587,ALLOW,6.0.0.0-6.7.255.255,2.5.0.0-2.5.127.255
588,DENY,1.7.0.0-1.7.255.255,0.0.0.0-15.255.255.255
589,ALLOW,7.9.10.0-7.9.10.127,4.1.1.8-4.1.1.11
590,ALLOW,0.0.0.0-15.255.255.255,6.4.9.10
591,DENY,0.0.0.0-255.255.255.255,9.2.0.0-9.3.255.255
592,DENY,6.8.10.0-6.8.11.255,6.7.0.0-6.7.7.255
593,DENY,0.0.0.0-127.255.255.255,0.0.0.0-31.255.255.255
594,ALLOW,5.9.8.0-5.9.11.255,4.6.10.0-4.6.10.3
595,DENY,5.7.0.0-5.7.7.255,8.3.3.0-8.3.3.31
596,DENY,9.8.8.0-9.8.8.127,7.0.0.0-7.15.255.255
597,DENY,7.10.6.0-7.10.6.31,2.4.0.0-2.4.127.255
598,ALLOW,4.1.0.0-4.1.255.255,1.10.8.0-1.10.8.31
599,ALLOW,1.8.0.0-1.11.255.255,2.0.0.0-3.255.255.255
600,ALLOW,3.7.0.0-3.7.63.255,8.5.1.4-8.5.1.7
601,ALLOW,6.8.2.0-6.8.2.15,2.9.0.0-2.9.31.255
602,ALLOW,8.1.2.0-8.1.3.255,7.0.0.0-7.63.255.255
603,ALLOW,0.0.0.0-127.255.255.255,0.0.0.0-31.255.255.255
604,ALLOW,0.0.0.0-63.255.255.255,7.6.3.8-7.6.3.9
605,DENY,10.3.9.2-10.3.9.3,0.0.0.0-15.255.255.255
606,ALLOW,0.0.0.0-15.255.255.255,8.0.0.0-15.255.255.255
607,ALLOW,1.0.0.0-1.127.255.255,8.0.0.0-11.255.255.255
608,ALLOW,4.4.5.0-4.4.5.63,0.0.0.0-63.255.255.255
609,DENY,5.8.5.7,9.9.2.6-9.9.2.7
610,ALLOW,8.0.0.0-11.255.255.255,0.0.0.0-63.255.255.255
611,DENY,0.0.0.0-63.255.255.255,6.0.0.0-6.7.255.255
612,DENY,6.7.0.0-6.7.255.255,9.8.6.0-9.8.7.255
613,DENY,5.2.3.0-5.2.3.7,8.0.0.0-9.255.255.255
614,DENY,7.0.0.0-7.15.255.255,6.5.5.0-6.5.5.1
615,DENY,1.0.0.0-1.255.255.255,10.7.0.0-10.7.63.255
616,ALLOW,5.9.8.0-5.9.8.15,10.4.2.0-10.4.3.255
617,ALLOW,3.5.7.0-3.5.7.15,0.0.0.0-63.255.255.255
618,DENY,3.0.0.0-3.15.255.255,7.8.3.10
619,DENY,8.7.0.0-8.7.15.255,0.0.0.0-31.255.255.255
620,ALLOW,0.0.0.0-7.255.255.255,0.0.0.0-31.255.255.255
621,ALLOW,2.4.9.6-2.4.9.7,8.7.1.0-8.7.1.31
622,ALLOW,5.4.0.0-5.7.255.255,0.0.0.0-7.255.255.255
623,DENY,6.2.2.0-6.2.2.127,8.9.0.0-8.9.255.255
624,DENY,9.4.0.0-9.4.255.255,5.8.8.0-5.8.9.255
625,ALLOW,2.0.0.0-3.255.255.255,8.0.0.0-8.7.255.255
626,DENY,5.6.0.0-5.6.63.255,4.0.0.0-4.127.255.255
627,DENY,9.5.7.0-9.5.7.127,4.6.0.0-4.6.63.255
628,DENY,8.8.0.0-8.8.255.255,6.7.3.0-6.7.3.255
629,DENY,1.7.0.0-1.7.31.255,7.0.0.0-7.127.255.255
630,DENY,4.0.0.0-4.63.255.255,7.4.4.0-7.4.4.31
631,ALLOW,8.0.0.0-9.255.255.255,4.0.0.0-4.63.255.255
632,ALLOW,0.0.0.0-7.255.255.255,9.8.4.4-9.8.4.7
633,ALLOW,9.3.8.0-9.3.9.255,7.4.3.0-7.4.3.127
634,DENY,6.4.7.8-6.4.7.11,7.3.4.0-7.3.4.15
635,ALLOW,8.0.0.0-8.63.255.255,1.0.0.0-1.63.255.255
636,ALLOW,0.0.0.0-7.255.255.255,0.0.0.0-7.255.255.255
637,DENY,6.8.0.0-6.15.255.255,8.0.0.0-11.255.255.255
638,DENY,7.0.0.0-7.15.255.255,6.0.0.0-6.255.255.255
639,ALLOW,9.0.0.0-9.255.255.255,5.0.0.0-5.31.255.255
640,DENY,6.5.0.0-6.5.7.255,0.0.0.0-127.255.255.255
641,ALLOW,4.5.2.8-4.5.2.11,7.10.0.0-7.10.31.255
642,ALLOW,6.2.8.0-6.2.8.31,5.0.0.0-5.31.255.255
643,DENY,8.10.0.0-8.10.255.255,1.3.0.0-1.3.255.255
644,DENY,0.0.0.0-31.255.255.255,6.7.2.8-6.7.2.11
645,DENY,2.0.0.0-2.63.255.255,0.0.0.0-31.255.255.255
646,ALLOW,5.7.4.0-5.7.7.255,8.6.8.8-8.6.8.9
647,DENY,0.0.0.0-15.255.255.255,6.3.10.8
648,DENY,4.0.0.0-4.127.255.255,8.3.1.4
649,DENY,1.0.0.0-1.127.255.255,8.4.0.0-8.4.15.255
650,DENY,2.0.0.0-2.15.255.255,0.0.0.0-31.255.255.255
651,ALLOW,9.10.0.0-9.11.255.255,3.0.0.0-3.127.255.255
652,DENY,10.10.0.0-10.10.255.255,6.3.7.9
653,DENY,3.8.6.0-3.8.7.255,4.0.0.0-5.255.255.255
654,ALLOW,3.0.0.0-3.127.255.255,1.8.0.0-1.9.255.255
655,ALLOW,5.8.7.0-5.8.7.7,10.0.0.0-10.15.255.255
656,DENY,2.4.0.0-2.5.255.255,9.0.0.0-9.7.255.255
657,ALLOW,9.10.8.0-9.10.8.127,4.2.0.0-4.3.255.255
658,DENY,4.0.0.0-4.15.255.255,1.0.0.0-1.63.255.255
659,ALLOW,2.7.5.8-2.7.5.11,8.8.9.8-8.8.9.11
660,DENY,1.0.0.0-1.31.255.255,1.3.1.0-1.3.1.127
661,DENY,4.5.0.0-4.5.31.255,1.0.0.0-1.255.255.255
662,DENY,1.10.2.0-1.10.3.255,9.10.0.0-9.10.127.255
663,DENY,9.0.0.0-9.15.255.255,2.1.0.0-2.1.255.255
664,ALLOW,0.0.0.0-63.255.255.255,10.1.0.0-10.1.255.255
665,DENY,10.8.8.0-10.8.11.255,0.0.0.0-255.255.255.255
666,DENY,7.7.0.0-7.7.31.255,7.0.0.0-7.255.255.255
667,DENY,5.9.1.0-5.9.1.7,7.3.3.8-7.3.3.11
668,ALLOW,4.0.0.0-4.255.255.255,2.6.7.0-2.6.7.31
669,DENY,2.9.3.0-2.9.3.15,6.0.0.0-6.255.255.255
670,ALLOW,6.6.0.0-6.6.3.255,0.0.0.0-15.255.255.255
671,ALLOW,0.0.0.0-63.255.255.255,9.0.0.0-9.255.255.255
672,DENY,2.0.0.0-2.127.255.255,6.6.6.0-6.6.7.255
673,ALLOW,1.2.0.0-1.3.255.255,3.10.0.0-3.10.15.255
674,DENY,1.5.0.0-1.5.255.255,4.0.0.0-7.255.255.255
675,ALLOW,2.8.0.0-2.8.63.255,8.0.0.0-9.255.255.255
676,ALLOW,4.10.0.0-4.10.255.255,10.8.0.0-10.11.255.255
677,ALLOW,2.0.0.0-2.255.255.255,8.0.0.0-11.255.255.255
678,ALLOW,1.0.0.0-1.31.255.255,1.2.0.0-1.2.7.255
679,DENY,9.3.0.0-9.3.1.255,2.4.3.6
680,ALLOW,8.10.4.0-8.10.7.255,0.0.0.0-255.255.255.255
681,ALLOW,0.0.0.0-255.255.255.255,0.0.0.0-7.255.255.255
682,ALLOW,1.9.10.0-1.9.10.7,8.4.10.0-8.4.10.15
683,DENY,0.0.0.0-63.255.255.255,8.0.0.0-15.255.255.255
684,ALLOW,9.0.0.0-9.255.255.255,9.0.0.0-9.7.255.255
685,ALLOW,6.5.0.0-6.5.15.255,3.10.0.0-3.10.31.255
686,DENY,1.5.6.0-1.5.6.31,1.2.0.0-1.2.63.255
687,ALLOW,2.6.0.0-2.6.255.255,8.3.3.0-8.3.3.255
688,ALLOW,8.6.1.0-8.6.1.63,7.2.10.0-7.2.10.7
689,DENY,9.0.0.0-9.127.255.255,10.0.0.0-10.255.255.255
690,DENY,0.0.0.0-31.255.255.255,4.4.0.0-4.7.255.255
691,DENY,0.0.0.0-63.255.255.255,10.8.0.0-10.9.255.255
692,ALLOW,0.0.0.0-127.255.255.255,6.0.0.0-6.127.255.255
693,DENY,4.0.0.0-4.63.255.255,3.9.6.2-3.9.6.3
694,DENY,10.0.0.0-10.31.255.255,3.10.10.0-3.10.10.255
695,DENY,2.10.1.2-2.10.1.3,4.10.0.0-4.10.31.255
696,ALLOW,0.0.0.0-3.255.255.255,9.6.2.0-9.6.3.255
697,DENY,0.0.0.0-63.255.255.255,6.7.3.0-6.7.3.7
698,ALLOW,7.4.0.0-7.4.63.255,0.0.0.0-63.255.255.255
699,ALLOW,0.0.0.0-15.255.255.255,5.6.6.0-5.6.6.255
700,DENY,8.8.2.0-8.8.2.31,3.8.10.2
701,ALLOW,6.0.0.0-6.255.255.255,3.0.0.0-3.15.255.255
702,ALLOW,3.8.4.2,6.3.7.0-6.3.7.255
703,ALLOW,0.0.0.0-255.255.255.255,4.7.1.0-4.7.1.3
704,DENY,5.0.0.0-5.31.255.255,2.2.6.0-2.2.6.63
705,ALLOW,1.0.0.0-1.127.255.255,2.5.2.6-2.5.2.7
706,DENY,4.0.0.0-4.15.255.255,8.0.0.0-8.31.255.255
707,DENY,8.9.0.0-8.9.127.255,9.4.0.0-9.4.63.255
708,ALLOW,9.1.0.0-9.1.255.255,6.6.0.0-6.6.31.255
709,DENY,6.0.0.0-7.255.255.255,4.4.8.0-4.4.9.255
710,DENY,8.10.8.0-8.10.11.255,10.3.3.0-10.3.3.63
711,ALLOW,8.9.6.0-8.9.6.31,8.0.0.0-8.127.255.255
712,ALLOW,0.0.0.0-3.255.255.255,1.6.2.8-1.6.2.9
713,ALLOW,4.10.0.0-4.10.63.255,0.0.0.0-7.255.255.255
714,DENY,0.0.0.0-7.255.255.255,4.9.0.0-4.9.31.255
715,ALLOW,10.0.0.0-10.127.255.255,6.5.8.0-6.5.11.255
716,DENY,0.0.0.0-63.255.255.255,2.2.7.4-2.2.7.7
717,ALLOW,10.0.0.0-10.255.255.255,4.8.0.0-4.11.255.255
718,ALLOW,0.0.0.0-15.255.255.255,1.0.0.0-1.127.255.255
719,ALLOW,8.1.10.0-8.1.10.63,7.9.0.0-7.9.255.255
720,ALLOW,4.3.1.0-4.3.1.3,1.10.0.0-1.10.15.255
721,DENY,4.9.0.0-4.9.127.255,9.3.0.0-9.3.127.255
722,ALLOW,0.0.0.0-15.255.255.255,2.0.0.0-3.255.255.255
723,ALLOW,0.0.0.0-63.255.255.255,5.0.0.0-5.31.255.255
724,DENY,8.0.0.0-8.7.255.255,6.0.0.0-7.255.255.255
725,ALLOW,0.0.0.0-31.255.255.255,0.0.0.0-31.255.255.255
726,DENY,6.7.0.0-6.7.7.255,3.0.0.0-3.15.255.255
