,sourceIP,destIP,action
583,1.7.0.0/20,8.10.5.0/24,DENY
584,1.4.8.0/23,0.0.0.0/2,DENY
585,9.6.0.0/17,2.0.0.0/7,DENY
586,0.0.0.0/7,4.0.0.0/6,DENY
587,0.0.0.0/5,3.10.0.0/19,DENY
588,2.5.0.0/17,6.0.0.0/13,ALLOW
589,0.0.0.0/4,1.7.0.0/16,DENY
590,4.1.1.8/30,7.9.10.0/25,ALLOW
591,6.4.9.10,0.0.0.0/4,ALLOW
592,9.2.0.0/15,0.0.0.0/0,DENY
593,6.7.0.0/21,6.8.10.0/23,DENY
594,0.0.0.0/3,0.0.0.0/1,DENY
595,4.6.10.0/30,5.9.8.0/22,ALLOW
596,8.3.3.0/27,5.7.0.0/21,DENY
597,7.0.0.0/12,9.8.8.0/25,DENY
598,2.4.0.0/17,7.10.6.0/27,DENY
599,1.10.8.0/27,4.1.0.0/16,ALLOW
600,2.0.0.0/7,1.8.0.0/14,ALLOW
601,8.5.1.4/30,3.7.0.0/18,ALLOW
602,2.9.0.0/19,6.8.2.0/28,ALLOW
603,7.0.0.0/10,8.1.2.0/23,ALLOW
604,0.0.0.0/3,0.0.0.0/1,ALLOW
605,7.6.3.8/31,0.0.0.0/2,ALLOW
606,0.0.0.0/4,10.3.9.2/31,DENY
607,8.0.0.0/5,0.0.0.0/4,ALLOW
608,8.0.0.0/6,1.0.0.0/9,ALLOW
609,0.0.0.0/2,4.4.5.0/26,ALLOW
610,9.9.2.6/31,5.8.5.7,DENY
611,0.0.0.0/2,8.0.0.0/6,ALLOW
612,6.0.0.0/13,0.0.0.0/2,DENY
613,9.8.6.0/23,6.7.0.0/16,DENY
614,8.0.0.0/7,5.2.3.0/29,DENY
615,6.5.5.0/31,7.0.0.0/12,DENY
616,10.7.0.0/18,1.0.0.0/8,DENY
617,10.4.2.0/23,5.9.8.0/28,ALLOW
618,0.0.0.0/2,3.5.7.0/28,ALLOW
619,7.8.3.10,3.0.0.0/12,DENY
620,0.0.0.0/3,8.7.0.0/20,DENY
621,0.0.0.0/3,0.0.0.0/5,ALLOW
622,8.7.1.0/27,2.4.9.6/31,ALLOW
623,0.0.0.0/5,5.4.0.0/14,ALLOW
624,8.9.0.0/16,6.2.2.0/25,DENY
625,5.8.8.0/23,9.4.0.0/16,DENY
626,8.0.0.0/13,2.0.0.0/7,ALLOW
627,4.0.0.0/9,5.6.0.0/18,DENY
628,4.6.0.0/18,9.5.7.0/25,DENY
629,6.7.3.0/24,8.8.0.0/16,DENY
630,7.0.0.0/9,1.7.0.0/19,DENY
631,7.4.4.0/27,4.0.0.0/10,DENY
632,4.0.0.0/10,8.0.0.0/7,ALLOW
633,9.8.4.4/30,0.0.0.0/5,ALLOW
634,7.4.3.0/25,9.3.8.0/23,ALLOW
635,7.3.4.0/28,6.4.7.8/30,DENY
636,1.0.0.0/10,8.0.0.0/10,ALLOW
637,0.0.0.0/5,0.0.0.0/5,ALLOW
638,8.0.0.0/6,6.8.0.0/13,DENY
639,6.0.0.0/8,7.0.0.0/12,DENY
640,5.0.0.0/11,9.0.0.0/8,ALLOW
641,0.0.0.0/1,6.5.0.0/21,DENY
642,7.10.0.0/19,4.5.2.8/30,ALLOW
643,5.0.0.0/11,6.2.8.0/27,ALLOW
644,1.3.0.0/16,8.10.0.0/16,DENY
645,6.7.2.8/30,0.0.0.0/3,DENY
646,0.0.0.0/3,2.0.0.0/10,DENY
647,8.6.8.8/31,5.7.4.0/22,ALLOW
648,6.3.10.8,0.0.0.0/4,DENY
649,8.3.1.4,4.0.0.0/9,DENY
650,8.4.0.0/20,1.0.0.0/9,DENY
651,0.0.0.0/3,2.0.0.0/12,DENY
652,3.0.0.0/9,9.10.0.0/15,ALLOW
653,6.3.7.9,10.10.0.0/16,DENY
654,4.0.0.0/7,3.8.6.0/23,DENY
655,1.8.0.0/15,3.0.0.0/9,ALLOW
656,10.0.0.0/12,5.8.7.0/29,ALLOW
657,9.0.0.0/13,2.4.0.0/15,DENY
658,4.2.0.0/15,9.10.8.0/25,ALLOW
659,1.0.0.0/10,4.0.0.0/12,DENY
660,8.8.9.8/30,2.7.5.8/30,ALLOW
661,1.3.1.0/25,1.0.0.0/11,DENY
662,1.0.0.0/8,4.5.0.0/19,DENY
663,9.10.0.0/17,1.10.2.0/23,DENY
664,2.1.0.0/16,9.0.0.0/12,DENY
665,10.1.0.0/16,0.0.0.0/2,ALLOW
667,7.0.0.0/8,7.7.0.0/19,DENY
668,7.3.3.8/30,5.9.1.0/29,DENY
669,2.6.7.0/27,4.0.0.0/8,ALLOW
670,6.0.0.0/8,2.9.3.0/28,DENY
671,0.0.0.0/4,6.6.0.0/22,ALLOW
672,9.0.0.0/8,0.0.0.0/2,ALLOW
673,6.6.6.0/23,2.0.0.0/9,DENY
674,3.10.0.0/20,1.2.0.0/15,ALLOW
675,4.0.0.0/6,1.5.0.0/16,DENY
676,8.0.0.0/7,2.8.0.0/18,ALLOW
677,10.8.0.0/14,4.10.0.0/16,ALLOW
678,8.0.0.0/6,2.0.0.0/8,ALLOW
679,1.2.0.0/21,1.0.0.0/11,ALLOW
680,2.4.3.6,9.3.0.0/23,DENY
682,0.0.0.0/5,0.0.0.0/0,ALLOW
683,8.4.10.0/28,1.9.10.0/29,ALLOW
684,8.0.0.0/5,0.0.0.0/2,DENY
685,9.0.0.0/13,9.0.0.0/8,ALLOW
686,3.10.0.0/19,6.5.0.0/20,ALLOW
687,1.2.0.0/18,1.5.6.0/27,DENY
688,8.3.3.0/24,2.6.0.0/16,ALLOW
689,7.2.10.0/29,8.6.1.0/26,ALLOW
690,10.0.0.0/8,9.0.0.0/9,DENY
691,4.4.0.0/14,0.0.0.0/3,DENY
692,10.8.0.0/15,0.0.0.0/2,DENY
693,6.0.0.0/9,0.0.0.0/1,ALLOW
694,3.9.6.2/31,4.0.0.0/10,DENY
695,3.10.10.0/24,10.0.0.0/11,DENY
696,4.10.0.0/19,2.10.1.2/31,DENY
697,9.6.2.0/23,0.0.0.0/6,ALLOW
698,6.7.3.0/29,0.0.0.0/2,DENY
699,0.0.0.0/2,7.4.0.0/18,ALLOW
700,5.6.6.0/24,0.0.0.0/4,ALLOW
701,3.8.10.2,8.8.2.0/27,DENY
702,3.0.0.0/12,6.0.0.0/8,ALLOW
703,6.3.7.0/24,3.8.4.2,ALLOW
704,4.7.1.0/30,0.0.0.0/0,ALLOW
705,2.2.6.0/26,5.0.0.0/11,DENY
706,2.5.2.6/31,1.0.0.0/9,ALLOW
707,8.0.0.0/11,4.0.0.0/12,DENY
708,9.4.0.0/18,8.9.0.0/17,DENY
709,6.6.0.0/19,9.1.0.0/16,ALLOW
710,4.4.8.0/23,6.0.0.0/7,DENY
711,10.3.3.0/26,8.10.8.0/22,DENY
712,8.0.0.0/9,8.9.6.0/27,ALLOW
713,1.6.2.8/31,0.0.0.0/6,ALLOW
714,0.0.0.0/5,4.10.0.0/18,ALLOW
715,4.9.0.0/19,0.0.0.0/5,DENY
716,6.5.8.0/22,10.0.0.0/9,ALLOW
717,2.2.7.4/30,0.0.0.0/2,DENY
718,4.8.0.0/14,10.0.0.0/8,ALLOW
719,1.0.0.0/9,0.0.0.0/4,ALLOW
720,7.9.0.0/16,8.1.10.0/26,ALLOW
721,1.10.0.0/20,4.3.1.0/30,ALLOW
722,9.3.0.0/17,4.9.0.0/17,DENY
723,2.0.0.0/7,0.0.0.0/4,ALLOW
724,5.0.0.0/11,0.0.0.0/2,ALLOW
725,6.0.0.0/7,8.0.0.0/13,DENY
726,0.0.0.0/3,0.0.0.0/3,ALLOW
727,3.0.0.0/12,6.7.0.0/21,DENY
728,6.5.1.0/25,1.0.0.0/8,DENY
729,8.0.0.0/5,1.10.0.0/15,ALLOW
730,7.1.0.0/19,6.3.9.0/30,DENY
731,3.5.7.0/27,7.10.4.1,ALLOW
732,7.9.0.0/20,6.0.0.0/7,DENY
733,1.4.0.0/14,2.0.0.0/14,ALLOW
734,0.0.0.0/3,2.6.6.6/31,DENY
735,8.0.0.0/6,10.9.3.0/29,DENY
736,3.0.0.0/10,7.7.3.0/30,DENY
737,5.7.5.0/25,7.9.0.0/22,ALLOW
738,0.0.0.0/3,7.2.7.0/28,ALLOW
739,1.2.8.0/21,10.1.0.0/16,ALLOW
740,0.0.0.0/4,9.8.6.0/23,DENY
741,6.0.0.0/10,9.9.9.0/26,ALLOW
742,0.0.0.0/5,10.6.2.0/30,DENY
743,2.4.2.0/25,6.7.8.0/22,ALLOW
744,1.1.4.0/22,0.0.0.0/3,DENY
745,8.0.0.0/13,8.3.7.0/30,DENY
746,9.5.7.0/28,0.0.0.0/3,DENY
747,4.0.0.0/7,4.2.4.0/27,DENY
748,0.0.0.0/2,6.0.0.0/8,ALLOW
749,4.0.0.0/6,3.9.2.0/26,ALLOW
750,10.0.0.0/8,4.5.8.0/24,DENY
751,10.2.0.0/18,0.0.0.0/6,DENY
752,4.0.0.0/12,3.0.0.0/11,DENY
753,8.0.0.0/6,0.0.0.0/2,ALLOW
754,10.8.0.0/20,3.0.0.0/11,DENY
755,7.8.7.0/24,1.9.8.0/22,DENY
756,10.0.0.0/11,0.0.0.0/2,ALLOW
757,8.0.0.0/7,3.0.0.0/8,ALLOW
758,5.2.4.0/26,9.0.0.0/12,ALLOW
759,6.5.0.0/18,1.0.0.0/9,DENY
760,5.6.1.1,2.4.0.0/17,ALLOW
761,6.9.0.0/16,7.1.6.0/23,DENY
762,4.3.3.4,0.0.0.0/3,DENY
763,10.10.0.0/19,0.0.0.0/4,ALLOW
764,10.3.9.0/27,3.5.0.0/17,DENY
765,10.2.8.0/28,0.0.0.0/1,ALLOW
766,6.0.0.0/7,2.6.4.0/22,ALLOW
767,8.9.8.5,3.7.0.0/18,DENY
768,10.1.9.0/25,8.0.0.0/6,DENY
770,2.0.0.0/12,8.3.9.0/29,ALLOW
771,10.0.0.0/10,0.0.0.0/2,DENY
772,8.10.0.0/17,1.7.0.0/20,ALLOW
773,6.0.0.0/11,0.0.0.0/2,ALLOW
774,0.0.0.0/4,7.7.5.0/24,ALLOW
775,0.0.0.0/6,2.0.0.0/11,DENY
776,8.3.6.0/24,8.10.9.0/25,ALLOW
777,4.9.8.9,5.8.10.0/25,ALLOW
778,2.2.0.0/16,0.0.0.0/3,ALLOW
779,0.0.0.0/2,2.1.4.0/22,ALLOW
780,2.0.0.0/13,3.4.9.0/25,DENY
781,1.3.4.0/22,8.0.0.0/11,DENY
782,0.0.0.0/6,5.8.4.0/22,DENY
783,1.3.0.0/22,4.0.0.0/7,DENY
784,5.4.5.8/29,1.0.0.0/9,ALLOW
785,2.3.6.0/26,6.0.0.0/12,ALLOW
786,3.0.0.0/8,6.0.0.0/11,ALLOW
787,2.10.10.6/31,0.0.0.0/2,ALLOW
788,5.9.0.0/17,1.8.0.0/17,ALLOW
789,1.0.0.0/12,7.5.5.0/25,ALLOW
790,0.0.0.0/1,10.8.8.0/28,ALLOW
791,0.0.0.0/5,0.0.0.0/1,ALLOW
792,10.4.0.0/18,0.0.0.0/2,ALLOW
793,6.8.0.0/20,7.6.0.0/23,ALLOW
794,5.6.8.0/28,2.0.0.0/13,ALLOW
795,7.1.5.0/27,2.0.0.0/7,ALLOW
796,2.0.0.0/11,5.8.0.0/15,ALLOW
797,7.0.0.0/9,3.0.0.0/12,ALLOW
798,8.0.0.0/8,1.2.3.0/27,DENY
799,3.0.0.0/10,10.6.4.0/22,DENY
800,5.10.0.0/17,3.9.3.1,ALLOW
801,7.9.2.0/24,10.9.9.1,DENY
802,3.0.0.0/10,8.0.0.0/7,ALLOW
803,5.9.0.0/20,10.0.0.0/7,DENY
804,8.0.0.0/12,7.9.0.0/18,ALLOW
805,9.8.5.8/29,4.7.8.0/25,ALLOW
806,8.7.10.0/28,7.4.9.4,DENY
807,5.5.1.0/28,4.0.0.0/7,DENY
808,3.1.4.4,6.2.7.0/27,DENY
809,4.0.0.0/6,9.0.0.0/12,ALLOW
810,0.0.0.0/2,3.4.0.0/14,ALLOW
811,10.7.1.0/27,0.0.0.0/4,ALLOW
812,6.0.0.0/11,2.10.0.0/15,DENY
813,2.2.3.0/27,1.0.0.0/9,ALLOW
814,1.0.0.0/11,4.7.8.0/27,DENY
815,8.0.0.0/9,4.0.0.0/6,ALLOW
816,2.1.3.0/31,1.5.8.6,ALLOW
817,4.7.6.7,0.0.0.0/1,DENY
818,0.0.0.0/1,0.0.0.0/1,ALLOW
819,0.0.0.0/3,0.0.0.0/1,ALLOW
820,10.0.0.0/7,0.0.0.0/3,ALLOW
821,5.10.8.0/22,3.9.0.0/18,DENY
822,5.1.10.0/25,7.0.0.0/9,ALLOW
823,5.6.0.0/16,0.0.0.0/2,DENY
824,7.5.8.0/29,4.0.0.0/6,DENY
825,1.8.4.0/23,4.8.0.0/16,DENY
826,9.1.7.0/28,10.2.9.0/26,ALLOW
827,9.0.0.0/9,5.0.0.0/11,ALLOW
828,6.2.6.4/30,10.8.8.8/31,DENY
829,3.9.10.0/23,5.10.0.0/17,DENY
830,2.6.0.0/20,0.0.0.0/4,ALLOW
831,2.4.0.0/19,7.1.6.0/28,DENY
832,0.0.0.0/3,0.0.0.0/2,ALLOW
833,9.5.8.0/27,1.2.6.0/29,DENY
834,5.0.0.0/12,2.0.0.0/7,ALLOW
835,8.7.0.0/19,4.7.0.0/16,DENY
836,0.0.0.0/0,5.0.0.0/10,DENY
837,3.0.0.0/9,4.8.0.0/14,ALLOW
838,2.3.0.0/17,2.0.0.0/13,DENY
839,10.5.3.2/31,4.8.7.4/30,DENY
840,3.0.0.0/8,9.0.0.0/8,ALLOW
841,2.0.0.0/11,9.8.1.7,DENY
842,2.8.0.0/23,8.8.0.0/16,DENY
843,8.0.0.0/6,10.7.0.0/20,DENY
844,6.0.0.0/7,6.3.1.0/27,ALLOW
845,5.3.7.2/31,0.0.0.0/2,DENY
846,8.10.0.0/17,8.0.0.0/12,DENY
847,8.4.4.0/24,4.8.2.0/23,ALLOW
848,3.2.0.0/21,0.0.0.0/3,ALLOW
849,2.0.0.0/8,0.0.0.0/1,ALLOW
850,4.1.10.6/31,6.0.0.0/10,DENY
851,4.0.0.0/6,6.9.8.0/24,DENY
852,6.2.9.0/25,8.3.7.2,DENY
853,0.0.0.0/4,4.8.0.0/18,DENY
854,6.1.8.0/22,4.5.0.0/19,DENY
855,5.9.0.0/19,1.9.0.0/17,ALLOW
856,0.0.0.0/4,4.4.0.0/23,ALLOW
857,2.0.0.0/8,10.8.8.9,ALLOW
858,10.8.8.0/21,0.0.0.0/3,ALLOW
859,10.7.0.0/19,3.9.0.0/22,DENY
860,5.3.0.0/16,5.3.8.0/23,DENY
861,2.5.9.0/29,0.0.0.0/5,DENY
862,4.1.0.0/17,0.0.0.0/3,ALLOW
863,2.5.0.0/18,2.0.0.0/12,DENY
864,10.7.0.0/17,5.0.0.0/10,DENY
865,0.0.0.0/1,8.9.0.0/20,ALLOW
866,6.10.4.0/23,5.1.0.0/19,DENY
868,4.4.8.4/30,4.10.0.0/21,ALLOW
869,0.0.0.0/1,9.4.5.0/24,ALLOW
870,9.10.0.0/18,8.0.0.0/5,DENY
871,5.7.0.0/18,0.0.0.0/6,ALLOW
872,0.0.0.0/4,10.2.0.0/17,DENY
873,2.8.6.4/30,7.0.0.0/13,DENY
874,4.1.0.0/18,5.0.0.0/8,DENY
875,8.8.0.0/15,10.9.0.0/20,ALLOW
876,9.4.2.7,6.1.0.0/22,ALLOW
877,9.4.0.0/18,10.2.0.0/21,ALLOW
878,0.0.0.0/2,0.0.0.0/5,ALLOW
879,5.10.0.0/19,9.8.2.0/24,DENY
880,8.6.0.0/16,6.0.0.0/11,ALLOW
881,7.0.0.0/13,5.2.4.0/22,DENY
882,5.0.0.0/10,5.0.0.0/8,ALLOW
883,4.9.0.0/17,0.0.0.0/6,ALLOW
884,6.4.7.4/31,6.1.0.0/20,DENY
885,0.0.0.0/4,6.0.0.0/10,DENY
886,10.5.6.0/23,4.9.0.0/22,DENY
887,8.0.0.0/9,0.0.0.0/5,DENY
888,0.0.0.0/2,8.0.0.0/9,DENY
889,6.0.0.0/7,2.7.0.0/21,DENY
890,5.0.0.0/12,1.7.4.0/25,ALLOW
891,4.1.8.0/27,5.0.0.0/8,ALLOW
892,0.0.0.0/3,1.0.0.0/10,ALLOW
893,0.0.0.0/3,7.5.0.0/17,ALLOW
894,3.7.0.0/17,8.1.0.0/17,ALLOW
895,1.3.1.0/25,0.0.0.0/0,ALLOW
896,8.0.0.0/13,3.2.2.0/26,DENY
897,7.0.0.0/11,1.8.8.8/30,ALLOW
898,10.4.5.10/31,0.0.0.0/4,ALLOW
899,10.6.0.0/16,3.0.0.0/9,DENY
900,2.0.0.0/9,4.3.0.0/18,ALLOW
901,7.6.1.0/25,6.5.10.0/25,DENY
902,8.8.7.0/24,8.0.0.0/8,ALLOW
903,0.0.0.0/4,4.0.0.0/9,ALLOW
904,9.2.3.0/26,2.0.0.0/7,ALLOW
905,4.0.0.0/10,5.8.0.0/18,DENY
906,6.0.0.0/12,0.0.0.0/3,DENY
907,9.6.0.0/15,7.0.0.0/15,ALLOW
908,0.0.0.0/1,6.2.10.0/27,DENY
909,2.10.4.0/27,4.0.0.0/10,ALLOW
910,9.0.0.0/12,5.0.0.0/14,ALLOW
911,9.9.0.0/21,5.10.0.0/18,ALLOW
912,4.0.0.0/6,1.7.4.1,ALLOW
913,8.4.6.0/30,0.0.0.0/6,ALLOW
914,4.10.5.0/26,4.9.8.0/27,DENY
915,6.9.0.0/21,2.6.3.10/31,DENY
916,4.6.6.0/26,0.0.0.0/3,DENY
917,0.0.0.0/7,2.4.10.2/31,DENY
918,9.6.8.4/30,9.10.5.0/25,ALLOW
919,0.0.0.0/6,3.8.0.0/13,DENY
920,2.0.0.0/10,4.8.0.0/14,DENY
921,6.0.0.0/14,6.0.0.0/15,DENY
922,6.1.0.0/22,6.0.0.0/7,DENY
923,8.3.1.0/28,3.6.5.0/27,DENY
924,2.0.0.0/7,2.9.0.0/19,DENY
925,0.0.0.0/0,0.0.0.0/4,DENY
926,9.8.0.0/19,2.6.1.0/28,DENY
927,4.9.0.0/17,9.9.5.0/27,ALLOW
928,7.0.0.0/9,7.6.0.0/21,DENY
929,7.5.9.0/24,7.10.1.0/24,DENY
930,0.0.0.0/4,5.3.0.0/16,ALLOW
931,4.0.0.0/6,0.0.0.0/3,ALLOW
932,9.2.6.0/28,10.0.0.0/7,ALLOW
933,3.4.0.0/14,7.0.0.0/10,DENY
934,0.0.0.0/3,4.7.0.0/21,ALLOW
935,9.7.2.0/27,6.0.0.0/10,DENY
936,9.0.0.0/14,7.0.0.0/13,ALLOW
937,10.7.6.0/28,6.10.0.0/20,DENY
938,10.0.0.0/11,4.0.0.0/12,DENY
939,0.0.0.0/3,0.0.0.0/4,ALLOW
940,9.8.0.0/15,2.9.5.0/24,ALLOW
941,0.0.0.0/1,0.0.0.0/4,DENY
942,6.5.4.0/22,0.0.0.0/4,ALLOW
943,7.8.0.0/15,7.10.0.0/19,ALLOW
944,2.6.1.8/29,4.8.6.0/23,DENY
945,3.9.7.0/25,3.4.4.0/28,ALLOW
946,7.7.9.2/31,6.9.0.0/17,DENY
947,10.9.0.0/21,5.9.0.0/18,ALLOW
948,5.0.0.0/8,0.0.0.0/3,ALLOW
949,2.5.0.0/19,3.8.8.0/26,DENY
950,9.9.10.0/25,5.3.4.0/22,ALLOW
951,10.8.4.0/23,0.0.0.0/3,DENY
952,0.0.0.0/5,1.10.10.4/30,ALLOW
953,0.0.0.0/3,2.5.0.0/18,DENY
954,1.8.0.0/13,0.0.0.0/1,ALLOW
955,10.5.0.0/20,3.8.0.0/17,ALLOW
956,8.0.0.0/6,0.0.0.0/5,ALLOW
957,0.0.0.0/4,6.2.0.0/15,ALLOW
958,4.1.7.0/29,9.3.0.0/22,ALLOW
959,2.4.0.0/19,4.4.0.0/16,ALLOW
960,9.10.0.0/17,7.2.0.0/18,ALLOW
961,4.0.0.0/6,10.8.0.0/19,ALLOW
962,9.0.0.0/8,7.2.10.10/31,ALLOW
963,0.0.0.0/2,7.9.5.4/30,ALLOW
964,7.0.0.0/8,5.0.0.0/11,ALLOW
965,5.0.0.0/11,4.4.0.0/20,DENY
966,8.0.0.0/7,3.2.8.0/21,DENY
967,1.0.0.0/12,8.5.8.0/21,ALLOW
968,10.5.0.0/17,9.0.0.0/9,ALLOW
969,3.6.0.0/19,0.0.0.0/6,ALLOW
970,0.0.0.0/4,8.6.4.0/29,DENY
971,4.2.8.0/23,10.5.3.0/29,DENY
972,4.0.0.0/7,4.0.0.0/6,DENY
973,8.0.0.0/9,6.10.3.0/25,DENY
974,9.3.5.0/30,9.9.6.0/23,ALLOW
975,9.0.0.0/11,1.0.0.0/9,ALLOW
976,0.0.0.0/2,0.0.0.0/4,DENY
977,5.0.0.0/12,0.0.0.0/5,ALLOW
978,2.6.0.0/15,6.0.0.0/10,ALLOW
979,5.2.4.0/22,7.8.0.0/13,ALLOW
980,8.1.2.0/30,4.1.3.0/29,DENY
981,9.6.0.0/18,4.0.0.0/6,DENY
982,9.4.0.0/22,8.0.0.0/12,DENY
983,0.0.0.0/0,0.0.0.0/2,ALLOW
984,0.0.0.0/2,5.1.6.2,DENY
985,9.3.0.0/17,3.0.0.0/12,DENY
986,7.7.10.0/24,10.10.10.6,ALLOW
987,0.0.0.0/3,8.0.0.0/7,ALLOW
988,1.6.3.10,6.7.6.0/25,DENY
989,4.0.0.0/9,2.0.0.0/12,ALLOW
990,5.6.10.0/25,9.8.0.0/18,DENY
991,7.8.2.2/31,2.10.2.0/28,DENY
992,3.0.0.0/8,7.8.0.0/17,DENY
993,2.0.0.0/11,0.0.0.0/4,ALLOW
994,9.8.0.0/19,6.0.0.0/9,DENY
995,10.7.3.0/28,5.1.4.0/28,ALLOW
996,1.10.0.0/17,8.0.0.0/9,DENY
997,10.1.6.4/30,0.0.0.0/1,DENY
998,5.9.1.0/24,0.0.0.0/6,ALLOW
999,0.0.0.0/6,0.0.0.0/1,DENY
1000,3.6.0.0/18,9.9.5.0/28,DENY
1001,6.0.0.0/7,3.4.0.0/22,DENY
1002,4.10.8.0/25,9.0.0.0/12,DENY
1003,3.8.0.0/19,0.0.0.0/1,DENY
1004,10.2.2.0/23,4.0.0.0/6,DENY
1005,9.8.0.0/17,5.6.7.0/30,DENY
1006,0.0.0.0/2,3.8.0.0/13,ALLOW
1007,10.0.0.0/7,10.8.7.8/31,DENY
1008,6.6.9.0/31,3.0.0.0/11,ALLOW
1009,6.0.0.0/13,3.10.9.4/30,DENY
1010,7.6.0.0/16,0.0.0.0/5,DENY
1011,10.10.2.0/23,5.4.0.0/14,ALLOW
1012,8.1.7.4/31,4.0.0.0/8,DENY
1013,4.4.0.0/19,9.0.0.0/13,DENY
1014,7.0.0.0/12,9.3.6.0/23,ALLOW
1015,4.6.0.0/16,0.0.0.0/2,DENY
1016,6.0.0.0/7,3.4.5.0/28,ALLOW
1017,4.8.6.0/23,2.0.0.0/10,DENY
1018,6.8.0.0/15,0.0.0.0/3,ALLOW
1019,10.10.9.0/29,6.0.0.0/7,ALLOW
1020,7.10.0.0/18,8.0.0.0/11,ALLOW
1022,0.0.0.0/3,5.2.0.0/19,ALLOW
1023,1.0.0.0/9,0.0.0.0/1,DENY
1024,0.0.0.0/6,0.0.0.0/5,DENY
1025,0.0.0.0/3,4.1.4.0/29,ALLOW
1026,4.1.8.1,7.2.7.0/27,ALLOW
1027,4.0.0.0/7,6.1.8.0/21,ALLOW
1028,0.0.0.0/2,7.6.0.0/15,ALLOW
1029,2.7.6.0/28,0.0.0.0/1,DENY
1030,7.7.8.0/21,5.0.0.0/12,ALLOW
1031,5.5.8.0/31,3.0.0.0/9,DENY
1032,10.0.0.0/13,3.6.0.0/18,DENY
1033,4.0.0.0/11,8.3.4.0/22,DENY
1034,0.0.0.0/3,10.4.7.8/29,ALLOW
1035,5.0.0.0/8,2.1.0.0/16,ALLOW
1036,4.0.0.0/13,8.0.0.0/9,DENY
1037,2.0.0.0/7,10.0.0.0/7,ALLOW
1038,5.9.0.0/17,0.0.0.0/5,DENY
1039,8.0.0.0/6,3.4.0.0/19,ALLOW
1040,1.8.5.0/25,0.0.0.0/1,DENY
1041,9.3.0.0/16,10.7.10.0/28,ALLOW
1042,5.10.0.0/22,0.0.0.0/2,DENY
1043,9.9.0.0/19,10.0.0.0/12,ALLOW
1044,0.0.0.0/0,0.0.0.0/4,DENY
1045,3.6.4.0/22,0.0.0.0/1,ALLOW
1046,4.9.8.0/25,5.0.0.0/9,ALLOW
1047,1.5.4.0/27,3.5.0.0/18,ALLOW
1048,0.0.0.0/1,6.0.0.0/11,ALLOW
1049,10.3.4.0/25,6.4.0.0/15,DENY
1050,10.10.4.0/22,2.5.0.0/17,ALLOW
1051,0.0.0.0/4,0.0.0.0/2,DENY
1052,0.0.0.0/2,6.0.0.0/7,ALLOW
1053,0.0.0.0/5,0.0.0.0/3,DENY
1054,8.0.0.0/6,4.1.0.0/21,ALLOW
1055,0.0.0.0/3,5.5.0.0/18,DENY
1056,3.10.0.0/20,0.0.0.0/0,DENY
1057,8.9.0.0/19,4.0.0.0/6,ALLOW
1058,3.9.0.0/20,0.0.0.0/4,DENY
1059,5.2.10.0/28,2.5.7.4/30,ALLOW
1060,4.9.7.4/31,5.3.4.8/30,ALLOW
1061,2.10.10.0/27,5.0.0.0/11,ALLOW
1062,0.0.0.0/2,2.0.0.0/10,DENY
1063,6.9.0.0/21,2.1.0.0/18,DENY
1064,0.0.0.0/4,0.0.0.0/4,ALLOW
1065,4.0.0.0/6,8.7.1.0/27,DENY
1066,8.2.0.0/16,0.0.0.0/2,ALLOW
1067,9.0.0.0/10,7.6.0.0/21,ALLOW
1068,6.0.0.0/7,2.4.6.0/23,DENY
1069,9.0.0.0/14,9.1.0.0/18,ALLOW
1070,10.6.8.8/29,0.0.0.0/3,DENY
1071,5.3.0.0/21,10.0.0.0/7,ALLOW
1072,9.1.0.0/17,2.0.0.0/8,DENY
1073,1.2.4.0/22,10.7.8.8/31,ALLOW
1074,8.0.0.0/6,2.10.9.0/24,ALLOW
1075,3.0.0.0/14,0.0.0.0/0,ALLOW
1076,5.0.0.0/11,2.0.0.0/7,ALLOW
1077,4.0.0.0/6,4.1.4.1,ALLOW
1078,0.0.0.0/2,0.0.0.0/4,ALLOW
1079,1.1.7.6,7.0.0.0/11,DENY
1080,0.0.0.0/2,8.0.0.0/7,DENY
1081,5.4.8.0/28,8.4.0.0/17,DENY
1082,6.7.6.0/27,0.0.0.0/6,ALLOW
1083,8.8.0.0/18,9.7.1.0/24,DENY
1084,8.0.0.0/12,5.5.0.0/18,DENY
1085,6.8.3.4/31,10.9.0.0/18,ALLOW
1086,9.0.0.0/11,4.0.0.0/10,DENY
1087,2.3.0.0/20,8.0.0.0/13,ALLOW
1088,7.6.8.8/29,8.1.4.0/23,ALLOW
1089,8.10.7.0/28,1.2.5.0/29,ALLOW
1090,5.0.0.0/10,6.0.0.0/13,ALLOW
1091,2.0.0.0/7,0.0.0.0/4,ALLOW
1092,6.0.0.0/12,0.0.0.0/2,ALLOW
1093,6.5.2.0/26,1.0.0.0/12,DENY
1094,1.10.10.3,7.3.4.0/23,ALLOW
1095,6.8.0.0/21,5.6.8.0/28,DENY
1096,0.0.0.0/2,4.0.0.0/11,ALLOW
1097,0.0.0.0/5,3.10.0.0/21,DENY
1098,4.0.0.0/6,4.4.9.0/24,DENY
1099,0.0.0.0/3,2.4.0.0/15,ALLOW
1100,9.8.0.0/15,0.0.0.0/6,DENY
1101,7.7.7.4/30,0.0.0.0/1,ALLOW
1102,8.1.0.0/23,6.0.0.0/8,DENY
1103,2.8.0.0/22,3.2.0.0/19,DENY
